label,comment
neutral,"chữ viết trên bảng đôi khi hơi khó đoán .
"
negative,"thầy rất thiếu nhiệt tình .
"
neutral,"nâng cấp hệ thống máy vi tính trong phòng thực hành : phòng thực hành altera không có kết nối internet , nên cần phải đảm bảo kết nối mạng để hiệu quả thực hành đạt hiệu quả cao hơn .
"
negative,"nên hướng dẫn làm bài tập nhiều hơn , học lý thuyết quá nhiều .
"
neutral,"không nên làm một bài tập nhóm quá lớn làm khó khăn cho sinh viên .
"
positive,"trong khi yêu cầu của thầy thì phải đạt độ chuẩn xác rất cao mới qua được môn .
"
positive,"mong được là học trò của thầy nhiều hơn ạ .
"
positive,"cần có thêm các ví dụ liên hệ thực tiễn , chuẩn bị kỹ và giảng bài lưu loát hơn , thay đổi cách dạy để sinh viên được chủ động hơn .
"
negative,"phòng máy không đáp ứng được yêu cầu .
"
positive,"giảng viên dạy dễ hiểu , nhiệt tình giảng giải cho sinh viên .
"
positive,"lợi ích : sinh viên rèn luyện kỹ năng làm việc nhóm , tránh tiếp thu thụ động , học được cách trình bày trước đám đông .
"
neutral,"nên có thêm chỉ thực hành để cho sinh viên nắm rõ hơn về máy tính .
"
neutral,"cần có bộ giáo trình chuẩn cho sinh viên trước khi bắt đầu học môn này .
"
negative,"hoặc dạy thêm các kinh nghiệm khi phỏng vấn xin việc , xin học bổng , xin thực tập .
"
positive,"giảng dạy rất nhiệt huyết .
"
positive,"môn học nên cho thêm nhiều dạng bài tập dưới dạng tiếng việt , vì trong giảng đường máy chiếu mờ , chữ tiếng anh nữa nhìn rất phiền phức cho những bạn ở sau !
"
neutral,"nên có phòng thực hành để mô phỏng lại lý thuyết đã được học từ đó sẽ dễ hiểu hơn và nhớ lâu hơn !
"
positive,"em nghĩ thầy nên cho sinh viên phân tích nhiều bài toán hơn .
"
positive,"cô rất nhiệt tình , giảng bài chi tiết , vui tính .
"
positive,"năng động , nhiệt tình .
"
positive,"giáo viên hướng dẫn chi tiết , nhiệt tình với sinh viên .
"
neutral,"cần có các tiết thực hành với trang thiết bị hiện đại .
"
positive,"giảng khá nhanh .
"
neutral,"thường trễ 30 phút .
"
positive,"cho nhiều bài tập và hướng dẫn giải rõ ràng .
"
neutral,"do môn này khó đối với em nên kiến thức thầy truyền đạt em thấy rất khó hiểu .
"
neutral,"giảng viên không biết cách diễn đạt , nghỉ 2 tuần không thông báo trên moodle .
"
positive,"giọng cô em nghe không được .
"
negative,"thầy nhiệt tình với sinh viên .
"
neutral,"thời gian bài tập tương đối tốt .
"
positive,"giảng viên giảng rất hay , bám sát thực tế , phần kiến thức học được có thể áp dụng được trong nhiều lĩnh vực , không riêng gì công nghệ thông tin .
"
positive,"cô dạy rất tốt , nhiệt tình dễ hiểu .
"
positive,"thầy tận tâm , nhiệt huyết , giải đáp câu hỏi của sinh viên , có bổ sung tài liệu tham để giúp sinh viên củng cố và nắm vững kiến thức .
"
neutral,"cô thoải mái .
"
neutral,"tạo không gian học tập vui vẻ !
"
negative,"thời gian lên lớp còn ít !
"
neutral,"em cám ơn !
"
negative,"nhiệt tình , chịu khó lắng nghe !
"
positive,"cô dạy rất nhiệt tình và có tâm .
"
positive,"tuy nhiên , nếu được cô nên bổ sung các bài tập cá nhân về cả lý thuyết và thực hành , bên cạnh các bài tập nhóm thì sẽ giúp các bạn bổ trợ thêm kiến thức rất nhiều .
"
neutral,"có nhiều bài tập hay .
"
negative,"giáo viên dạy hơi lan man , không tập trung vào vấn đề chính của buổi học .
"
negative,"cô quá khó tính , giảng bài chưa thật sự thu hút .
"
positive,"cô dạy chậm dễ hiểu .
"
neutral,"không thấy không hài lòng về giảng viên .
"
negative,"sinh viên học thầy theo kiểu đối phó chứ thật chất không hiểu sâu vấn đề .
"
neutral,"sửa bài cho sinh viên giúp sinh viên tiến bộ .
"
positive,"thầy dạy tốt , nhiệt tình .
"
positive,"giảng viên hòa đồng , vui vẻ , tận tình giải đáp thắc mắc của sinh viên .
"
neutral,"sử dụng dụng cụ dạy học có chất lượng tốt , ví dụ như máy nghe tiếng anh chất lượng tốt .
"
neutral,"không gian học thoải mái , giảng viên không tạo áp lực cho sinh viên .
"
negative,"nhiệt tình , giải bài tập nhiều .
"
positive,"cô dạy rất hay !
"
positive,"đồng thời , giảng viên rất tích cực , năng nổ trong việc giảng dạy , cung cấp cho sinh viên nhiều kiến thức bổ ích và cũng luôn vui vẻ , hoà đồng nhằm khiến sinh viên cảm thấy thoải mái khi đến lớp .
"
neutral,"nên tóm gọn lại nội dung slide .
"
neutral,"vui vẻ , biết lắng nghe ý kiến của sinh viên .
"
neutral,"trường ta cần những giáo viên nhiệt huyết và tài năng như vầy .
"
positive,"giảng viên nhiệt tình , dạy đúng giờ .
"
neutral,"chúng em không theo kịp !
"
negative,"dễ tính , thoải mái , không gây áp lực , tạo động lực phát biểu .
"
negative,"giảng viên nhiệt tình , phương pháp giảng dạy hiệu quả .
"
negative,"thầy giảng hơi khó hiểu , lên lớp hơi muộn , chưa đúng giờ .
"
neutral,"giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào .
"
negative,"giảng rất hay , giảng nội dung quan trọng không lan man .
"
neutral,"nội dung truyền đạt để sinh viên thực hành chưa thực sự tốt .
"
positive,"thầy giảng bài rất hay và nhiệt tình .
"
positive,"thầy rất nhiệt tình , dù lớp có vắng hay đông đủ .
"
negative,"cô cho bài tập thực hành tại chỗ .
"
positive,"có nhiều trang thiết bị giảng dạy hơn .
"
negative,"cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp : quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , v.v .
"
positive,"chỉ điểm danh 3 buổi cuối rồi lấy điểm quá trình .
"
neutral,"môn thực hành này chưa có tài liệu hướng dẫn .
"
positive,"hướng dẫn và đánh giá đúng kết quả học tập .
"
negative,"nhiệt tình !
"
positive,"giảng viên có kỹ năng tốt , truyền đạt dễ hiểu , dễ áp dụng .
"
neutral,"cần thêm phần ngôn ngữ sql kết hợp với ngôn ngữ lập trình c để có thể lập trình được cho một cơ sở dữ liệu .
"
negative,"hiểu rõ khả năng từng sinh viên .
"
neutral,"giảng viên truyền đạt tốt .
"
negative,"cho nghỉ nhiều , học bù trùng lịch với môn khác .
"
neutral,"thầy chu đáo và tỉ mỉ .
"
negative,"làm sinh viên khó liên hệ giữa lý thuyết và thực hành , dẫn tới không hiểu mình đang được học gì !
"
negative,"chất lượng đào tạo của môn học này đã tốt rồi .
"
neutral,"hơi khó nghe .
"
negative,"hay bỏ lớp hơn cả tiếng đồng hồ .
"
positive,"thầy dạy hay , dễ hiểu !
"
positive,"cô giảng bài và hướng dẫn làm bài nhiệt tình .
"
positive,"thầy giảng rất dễ hiểu .
"
positive,"thầy giảng bài thú vị , dễ tiếp thu , dạy học vui tính và nhiệt tình .
"
positive,"bài thi chả liên quan , và thật sự cảm thấy kỹ năng nghe và nói mới là cần thiết nhất .
"
positive,"cô dễ thương , nhí nhảnh , truyền đạt dễ hiểu thấu hiểu tâm lý sinh viên :) .
"
positive,"bài tập về nhà của thầy rất nhiều , rất hay .
"
negative,"nên cho thêm nhiều dạng bài tập của những phần được học ở gần cuối kỳ như chuỗi , cấu trúc .
"
positive,"thầy rất tận tâm trong công việc giảng dạy .
"
positive,"thầy thực sự rất chuyên tâm trong giảng dạy và những bài giảng thực sự dễ hiểu .
"
positive,"theo em giảng viên cần phân loại các dạng bài tập theo từng buổi học để sinh viên dễ tiếp thu hơn chứ không nên một lần tung ra quá nhiều bài tập trên moodle mà không hướng dẫn làm cho sinh viên cảm thấy nặng nề .
"
negative,"kiến thức nhiều , dạy tốt .
"
neutral,"wifi các phòng thực hành thường rất yếu .
"
neutral,"cô rất nhiệt tình trong việc truyền đạt kiến thức cũng như sẵn sàng trả lời mọi thắc mắc của sinh viên .
"
positive,"cô rất tận tâm , nhiệt tình và có trách nhiệm cao .
"
positive,"giảng dạy dễ hiểu , ngắn gọn , không cầu kỳ .
"
neutral,"chữ thầy hơi khó nhìn .
"
neutral,"nếu như một người không xem bài "" kỹ "" trước ở nhà .
"
positive,"cô tận tình giảng dạy , thân thiện .
"
positive,"thầy này không có dạy lớp em .
"
neutral,"cách tổ chức thi giữa kỳ không hiệu quả , ảnh hưởng đến sự công bằng và kết quả học tập của sinh viên .
"
negative,"nội dung giảng dạy quá nhiều so với thời lượng môn học .
"
positive,"cô giảng tận tình , dễ hiểu , thân thiện với học sinh :)smile .
"
positive,"giáo viên đến đúng giờ , dạy nhiệt tình và cho bài tập để làm .
"
neutral,"thời gian thực hành ít .
"
positive,"kiến thức giảng viên truyền đạt là vô cùng súc tích và dễ hiểu .
"
negative,"em chưa được thầy dạy thực hành môn này .
"
positive,"giáo viên dạy dễ hiểu và sinh động , không gây cảm giác nhàm chán .
"
positive,"thầy dạy nhiệt tình , giảng bài chi tiết .
"
positive,"cần có tài liệu bằng hình ảnh , video trực quan sinh động hơn , dễ nắm bắt bài học nhanh chóng hơn .
"
neutral,"nên trang bị rèm che cửa .
"
negative,"nghỉ nhiều , khả năng truyền đạt chưa cao , chưa thực sự làm môn học thu hút .
"
neutral,"có hoạt động outdoor , rèn luyện kỹ năng quay phim , dựng phim .
"
negative,"sử dụng hệ thống nộp bài và chấm điểm bằng wecode và hackerrank chưa chính xác .
"
negative,"bài tập trên lớp làm quá nhanh , có thể không theo kịp .
"
positive,"giáo viên nhiệt tình giúp đỡ sinh viên , thân thiện .
"
positive,"thầy rất nhiệt tình truyền đạt kiến thức , và giải đáp mọi thắc mắc của sinh viên , cung cấp tài liệu lý thuyết đầy đủ và có chọn lọc .
"
positive,"dù sao em cũng cám ơn thầy đã dẫn dắt bọn em ở học kỳ hai này ạ .
"
positive,"dạy đầy đủ kiến thức trên lớp , giảng sâu vào bài khiến sinh viên hiểu bài rõ ràng hơn .
"
neutral,"giảng viên truyền đạt hơi khó hiểu .
"
positive,"cố gắng giảng lại đến khi sinh viên hiểu bài mới thôi .
"
positive,"vui tính dạy cũng dễ hiểu .
"
negative,"cô hay cáu gắt , khó tính , cứ hay giận dỗi .
"
positive,"kiến thức rất nhiều và trừu tượng giảng viên nên thêm những phương pháp giảng dạy mới cho giờ học hiệu quả hơn .
"
neutral,"phòng máy ngon hơn .
"
negative,"giao nhiều bài tập về nhà .
"
positive,"giảng bài rất hay .
"
positive,"thầy dạy nhiệt tình , giải đáp thắc mắc của học sinh một cách tận tình .
"
neutral,"thực hiện nhóm nhiều .
"
neutral,"nội dung giảng dạy còn quá chung chung .
"
positive,"dạy kỹ , sinh viên học cảm thấy dễ hiểu , vận dụng được nhiều kiến thức để học môn này .
"
negative,"thầy không dạy kỹ , bỏ sót một số phần và không sử dụng giờ lên lớp hiệu quả , học theo cdio nhưng không có khác biệt quá lớn với các lớp khác , thất vọng .
"
negative,"bản thân em chưa học qua môn tấn công mạng nên những kiến thức ở môn bảo mật internet còn khá mới với em .
"
negative,"thầy chưa chuẩn bị bài kỹ khi lên lớp .
"
negative,"nhiệt tình , hiểu học sinh .
"
neutral,"báo cáo cuối kỳ thầy tập trung cả lớp trong một buổi .
"
neutral,"thầy có vẻ hơi có chịu .
"
neutral,"giảng viên cần chú ý quan sát sinh viên hơn và hỏi xem sinh viên nào chưa hiểu .
"
positive,"nâng cao kiến thức cho sinh viên rất tốt , giảng dạy dễ hiểu .
"
neutral,"he's very funny .
"
neutral,"luôn có ví dụ minh họa thực tế .
"
neutral,"khổ lắm .
"
positive,"cô dạy nhiệt tình , dễ hiểu , quan tâm sinh viên .
"
neutral,"môn này chủ yếu là để làm nhóm .
"
positive,"thầy dạy dễ hiểu , sẵn sàng giúp đỡ sinh viên , tận tâm , nhiệt tình .
"
negative,"thầy ít hướng dẫn các bài tập , cách vận dụng kiến thức cần thiết vào bài tập thực tế .
"
positive,"cô rất dễ chịu :) .
"
neutral,"nên có nhiều bài tập vận dụng về nhà cho sinh viên .
"
neutral,"nội dung môn học nên được cập nhật .
"
neutral,"hợp tác .
"
neutral,"thực hành em không có học với giảng viên này , da có thể nhầm lẫn gì chăng .
"
positive,"cách dạy thực hành với những ứng dụng thực tế rất hay ( thực hành trên tín hiệu âm thanh ) , khiến cho học sinh có cảm giác muốn học , không giống như khi làm các bài tập gò bó , quy củ .
"
neutral,"giảng viên hay thường xuyên quên up slide lên courses cho sinh viên , trong quá trình học sinh viên đã nhắc rất nhiều lần nhưng giảng viên quên up , đề nghị giảng viên xem xét lại vấn đề này .
"
negative,"hay gây buồn ngủ .
"
neutral,"tốc độ giảng dạy phù hợp để sinh viên có đủ thời gian để tự thực hành kiến thức vừa học ngay tại lớp .
"
neutral,"theo em , môn học cần có sự hệ thống lại , đặc biệt nêu rõ các mối quan hệ giữa các bài với nhau , giúp sinh viên vận dụng tốt hơn kiến thức của mình .
"
positive,"thầy rất vui tính .
"
neutral,"phòng thực hành có quá nhiều máy bị hỏng .
"
neutral,"khả năng nghe , đọc hiểu được nâng cao .
"
positive,"thầy dạy thì nên dạy sớm để dễ học , dễ nhớ , ban đầu thầy ít dạy vào kiến thức chính , đến giai đoạn cuối của kỳ là khi bận rộn nhiều thì thấy mới bắt đầu dạy kiến thức .
"
neutral,"có tinh thần trách nhiệm cao .
"
neutral,"chẳng hạn , sinh viên chuyên ngành mạng thì không nên quá đào sâu vào nội dung mà chỉ cần đưa ra những nội dung nền tảng , cần thiết nhất .
"
neutral,"bài tập lớn mà thầy wzjwz74 đưa ra cũng khá là chung chung , không yêu cầu rõ ràng , cụ thể .
"
neutral,"giáo trình phần căn bản về web lặp lại các môn khác nên học rất nhàm chán .
"
neutral,"giảng viên truyền đạt kiến thức tốt , có nhiều kinh nghiệm , phát âm tốt .
"
positive,"giáo viên lên lớp đều , giảng bài tích cực .
"
negative,"có lúc nhiều vấn đề trong bài học giáo viên chưa giải đáp được .
"
neutral,"máy chiếu phòng wzjwz3 cần được sửa chữa hoặc thay mới để lớp có đủ điều kiện học .
"
negative,"nên cho sinh viên hiểu rõ tổng quát của môn hoc ngay từ đầu học những gì , học để làm gì , và nó ứng dụng trong thực tế như thế nào ví dụ cụ thể .
"
positive,"cô rất tận tâm và quan tâm đến sinh viên .
"
positive,"thầy giảng hay , đưa ra ví dụ dễ hiểu .
"
negative,"dạy muôn từ 15 - 20 phút so với giờ quy định dù lên lớp đúng giờ khiến cho việc sắp xếp những công việc sau giờ học của sinh viên gặp khó khăn .
"
neutral,"hỗ trợ sinh viên tối đa .
"
neutral,"em không có ý kiến gì thêm .
"
negative,"thầy nhiệt tình trong quá trình giảng dạy , có thêm video cho học sinh về tự học thêm .
"
positive,"cô giúp cho tụi em xác định được mục tiêu và mong muốn đạt được khi học môn học này .
"
negative,"giảng viên tận tâm , nhiệt tình với học sinh .
"
neutral,"em cảm ơn .
"
neutral,"em cám ơn .
"
neutral,"thầy nên chia nhóm theo ngành , để các bạn có thể trả lời những câu hỏi sâu về ngành mình đang thuyết trình , ngành mình đang học .
"
negative,"luôn dạy quá giờ ( khoảng 30 phút ) , ảnh hưởng đến giờ trưa của sinh viên và truyền đạt không được thu hút .
"
positive,"giảng viên cần nhiệt tình hơn trong công tác giảng dạy .
"
negative,"nhiệt tình giúp đỡ , cho nhiều bài tập hữu ích và thực tiễn cao .
"
neutral,"giảng viên khó có thể truyền đạt hết kiến thức .
"
positive,"nội dung thầy giảng mang tính cập nhật , có nhiều nội dung hay .
"
positive,"tiết học rất thoải mái , dễ tiếp thu .
"
positive,"thầy cần hướng dẫn các bạn làm bài tập khi mới bắt đầu thực hành vì các phần mềm dùng thực hành có mới với các bạn sinh viên .
"
positive,"chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô .
"
positive,"giảng viên tích cực .
"
neutral,"slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa .
"
positive,"dạy và ôn tập tận tình .
"
neutral,"giáo trình môn học nên cập nhật thường xuyên .
"
positive,"thầy giảng rất tận tâm .
"
positive,"tận tình , cung cấp thông tin và giải đáp thắc mắc tốt .
"
neutral,"cách truyền đạt qua lời nói khó hiểu .
"
negative,"phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy .
"
positive,"vui tính , dạy dễ hiểu .
"
positive,"cô dễ thương quá em nhìn cô nhiều hơn nhìn code cô viết :p !
"
negative,"em biết là cô rất buồn vì chúng em không chú tâm tới môn học của cô .
"
positive,"giảng viên dạy tốt .
"
neutral,"mong giảng viên chủ động trong việc truyền đạt kiến thức hơn , tránh trường hợp đợi hỏi mới trả lời , vì sinh viên làm sao biết cái mình cần hỏi đề hỏi khi lực học mới chỉ ở mức trung bình .
"
neutral,"cần giảng dạy kỹ phần trigger các từ cơ bản vì tìm kiếm trên mạng tương đối khó khăn dù chúng tương đương lập trình cơ bản .
"
negative,"thầy nhiệt tình , giảng kỹ , tận tâm với sinh viên .
"
neutral,"giảng viên cần có kỹ năng sư phạm , truyền đạt nội dung môn học , thái độ nhiệt tình hơn .
"
positive,"thầy giảng hay , nhiệt tình .
"
positive,"giảng dạy dễ hiểu , nhiệt tình .
"
positive,"giảng viên tận tâm , nhiệt tình , phương pháp giảng dạy của giảng viên giúp hiểu được và vận dụng được kiến thức .
"
positive,"giảng viên giảng dạy nhiệt tình , bám sát chương trình .
"
negative,"dạy ít về phần code .
"
neutral,"thầy không công bằng trong đánh giá .
"
positive,"thầy đi rất đúng giờ , giảng dạy rất nhiệt tình !
"
negative,"mà hơn nữa ngủ ở lớp học còn rất dễ bị đau lưng .
"
negative,"thầy rất hay liên hệ nhưng thứ học được ra thực tế , như những ứng dụng của các linh kiện , v.v .
"
negative,"thầy thường vào lớp trễ .
"
positive,"thầy dạy dễ hiểu , hướng dẫn chi tiết .
"
neutral,"thầy dạy phần hai có phần hơi khó khăn trong việc điểm danh , cả khi thầy có nhầm lẫn thầy cũng không chịu nhận .
"
positive,"giảng dạy còn nhiều thiết sót .
"
positive,"một môn học rất hay .
"
positive,"giáo viên hướng dẫn nhiệt tình , vui vẻ , dễ tính .
"
positive,"giảng dạy nhiệt tình , giờ học đúng không đi trễ về sớm .
"
positive,"giảng viên nên quan tâm nhiều hơn đến mức hiểu bài của sinh viên qua mỗi giờ học bằng cách hỏi những câu hỏi liên quan ở cuối giờ qua đó cộng điểm để tạo thêm sự yêu thích môn học .
"
positive,"cô tuy còn trẻ nhưng rất tận tâm với sinh viên , khi sinh viên có vấn đề gì hỏi cô , cô đều giải thích rất kỹ , đôi khi còn nói thêm những vấn đề liên quan .
"
positive,"thầy dạy rất chậm rãi kết hợp với biểu đồ vẽ trên bản đồ giúp sinh viên dễ hiểu hơn .
"
neutral,"rất hòa đồng .
"
positive,"thầy dạy hay dễ hiểu .
"
neutral,"giọng nói truyền cảm .
"
neutral,"nên phân bổ thời gian hợp lý hơn .
"
negative,"bài tập nhiều , đa dạng .
"
positive,"tận tâm , nhiệt tình , thân thiện , hướng dẫn ân cần , theo sát năng lực học tập của sinh viên .
"
negative,"bởi chúng em đang đi học , phải học của nhiều môn khác nhau .
"
positive,"giảng viên nhiệt tình , vui vẻ , chịu khó .
"
negative,"giảng quá nhanh với phần bài tập , không nắm bắt được các dạng bài làm nó như thế nào .
"
negative,"giáo trình anh văn chưa phù hợp , gây chán vì nhiều kiến thức đã biết qua rồi .
"
neutral,"cần có những lớp training cho các bạn yếu , mất căn bản .
"
neutral,"mặc dù giảng viên đã có chỉnh đốn nội dung ngay trên lớp , nhưng không có tài liệu về nhà đọc lại thì sao nắm được ?
"
neutral,"giảng viên có kinh nghiệm .
"
positive,"không có nhiều tài liệu môn học được cung cấp cho sinh viên ngoài slide bài giảng của giảng viên .
"
neutral,"chất lượng kiến thức được giáo viên truyền đạt hay .
"
positive,"thầy nên giảng chậm hơn để sinh viên có thể theo kịp bài và cho sinh viên copy slide bài giảng .
"
neutral,"thầy dạy hay , nhiều kinh nghiệm , có phần demo trực tiếp trên visual studio giúp dễ hiểu .
"
neutral,"phòng học hơi nhỏ , nên nâng cấp .
"
neutral,"rõ ràng .
"
positive,"cô dạy rất tâm huyết , nhiệt tình .
"
positive,"thầy dạy tốt , có nhiều kiến thức chuyên sâu , hỗ trợ rất nhiều cho sinh viên trong khâu nâng cao kiến thức chuyên môn .
"
neutral,"gần gũi , hòa đồng với sinh viên .
"
positive,"cô rất nhiệt tình khi giảng dạy , kiên nhẫn với sinh viên .
"
neutral,"cần thêm một số topic để rèn luyện thêm .
"
positive,"sau khi thi kỳ thi cuối kỳ vừa rồi .
"
positive,"p / s : phía trên là ý kiến em tổng hợp từ em và các bạn học cùng lớp này , có nhiều bạn ngại nói ra , hy vọng trường sẽ không cho giảng viên biết tên của người ghi ý kiến ạ .
"
neutral,"phòng thực hành cần được chuyển qua một phòng lớn hơn .
"
neutral,"nhiệt tình giúp đỡ học sinh .
"
neutral,"thầy theo chế độ trọng nam khinh nữ : các câu hỏi dành cho nữ nhiều hơn dành cho nam .
"
neutral,"trình độ giỏi .
"
positive,"thầy dạy nhiệt tình , dễ hiểu , đưa ví dụ bài tập rất thực tế .
"
positive,"giảng bài rất kỹ , và cho nhiều bài tập áp dụng .
"
neutral,"nội dung bài học , nội dung ôn tập thi giữa kỳ , cuối kỳ nên được cập nhật trên moodle .
"
negative,"không thấy thầy lên lớp kể từ khi nghỉ lễ 30 / 4 và 1 / 5 xong .
"
negative,"thầy nên chuẩn bị trước slide lý thuyết vì mỗi buổi thầy viết lại sẽ mất nhiều thời gian .
"
negative,"phân công từng nhóm lên thuyết trình .
"
positive,"thầy dạy rất tốt , cảm ơn thầy !
"
neutral,"giáo trình môn học chưa cập nhật .
"
neutral,"giảng viên giải đề các năm trước .
"
neutral,"giảng viên nên đưa ra nhiều ví dụ minh họa hơn .
"
negative,"lên lớp đúng giờ , nhiệt tình .
"
negative,"muốn đề thi dễ hơn .
"
positive,"giảng viên nhiệt tình , máu lửa , phương pháp giảng dạy hiện đại .
"
negative,"thầy hay nghỉ dạy nhờ giảng viên khác dạy thay do bận việc nhiều .
"
positive,"cô vui tính , tận tình .
"
positive,"cô rất dễ thương , hiền nữa , cô khá nhiệt huyết .
"
neutral,"luôn bám sát tiến độ làm đồ án của sinh viên .
"
negative,"thiếu nghiêm túc trong học tập .
"
negative,"thầy cho nhiều bài tập để thực hành .
"
positive,"cô rất tận tâm và nhiệt tình .
"
negative,"đề nghị dạy lập trình c trước hoặc song song với môn học này .
"
neutral,"buổi chiều nên học lúc 13h30 .
"
negative,"ít trang bị kiến thúc ngữ pháp vững vàng cho sinh viên , ít làm bài tập ngữ pháp trên lớp , một buổi học quá nhiều kiến thức không tiếp thu kịp , áp lực , sửa bài tập nhanh dot chỉ nói bằng miệng nên ít ghi chép để nhớ lâu .
"
positive,"thầy dạy nhiệt tình , dạy những kiến thức sát với các kỳ thi .
"
positive,"giống như việc cung cấp cho phép cộng và yêu cầu là giải được bất đẳng thức .
"
negative,"nhiều sinh viên đọc đề không hiểu , vượt xa kiến thức trên lớp .
"
positive,"cô rất nhiệt tình , giảng bài khá hay .
"
positive,"cô dễ thương , vui tính , nhiệt tình , nhiều nhiều nữa .
"
positive,"cô rất vui tính , giảng bài tận tình .
"
negative,"nên tập trung cho sinh viên vào một phương pháp , một công cụ nào đó để làm bài tập , tránh tình trạng sinh viên không biết đường nào để làm .
"
neutral,"giảng viên tận tâm giúp sinh viên học tập .
"
negative,"giảng viên cho nhiều bài tập khó .
"
negative,"cô phát âm chưa tốt , dạy còn chút khô khan , chưa tạo được sự hứng thú học tập cho sinh viên .
"
neutral,"đưa ra các bài tập áp dụng .
"
positive,"cô giảng dạy hay , dễ tiếp thu .
"
negative,"giảng viên truyền cảm hứng cho sinh viên , nhiệt tình .
"
positive,"nguyên tắc và tận tình giảng dạy .
"
neutral,"thường xuyên đặt câu hỏi cho sinh viên trả lời .
"
positive,"nói chung thầy wzjwz196 dạy toán là tuyệt .
"
positive,"bài giảng không lôi cuốn .
"
negative,"giảng dạy nhiệt tình , cho bài tập nhiều .
"
positive,"thầy giảng dạy rất nhiệt tình và chi tiết tường tận cho nhiều ví dụ cụ thể thực tế rất hay .
"
positive,"cô rất nhiệt tình chỉ dạy cho lớp và luôn giúp những bạn yếu kém vươn lên học tốt hơn .
"
negative,"thực hành nhiều , làm bài tại lớp càng nhiều càng tốt , đưa ra nhiều ví dụ về nhiều trường hợp và một số trường hợp phát sinh .
"
neutral,"thay vì thế , giảng viên nên tập trung vào các công nghệ được ngôn ngữ lập trình hỗ trợ và cách sử dụng chúng hiệu quả , việc hướng dẫn lập trình nên đưa vào các buổi thực hành .
"
negative,"đề nghị việc giảng viên vào những lúc cuối kỳ , thời gian chuẩn bị báo cáo đồ án , chuẩn bị thi .
"
positive,"giảng viên nhiệt tình và công tâm .
"
neutral,"nếu thầy có thể lên lớp đúng giờ thì tuyệt ạ !
"
negative,"cách trình bày giữa thầy thực hành và thầy lý thuyết khác nhau .
"
negative,"thầy nhiệt tình lắm .
"
positive,"với một môn nhập môn mà thầy đòi hỏi bọn em quá cao làm bọn em hơi áp lực .
"
negative,"rồi giống như không muốn nghe nữa vậy , cho thời gian báo cáo là 15 phút , nhưng khi chưa kịp nói gì thì thầy nói chuyển , được khoảng 5 phút thì xong , không cho báo cáo nữa !
"
neutral,"quá nhiều kiến thức để nhớ .
"
neutral,"cách truyền đạt kiến thức cho sinh viên .
"
neutral,"cung cấp slide , kiến thức , truyền dạt tốt .
"
positive,"không cung cấp slide , vô dạy nói tùm lum tà la không liên quan đến môn học , dạy một tí bảo chép slide rồi cầm tờ báo ngồi đọc .
"
positive,"cô dạy rất nhiệt tình và tận tụy .
"
negative,"không chú ý yêu cầu , giải đáp của sinh viên .
"
negative,"thầy không cho slide và lên lớp chủ yếu là chép slide .
"
positive,"giáo trình môn học cần xác định cho phù hợp với thực lực và trình độ của sinh viên .
"
negative,"hay đến trễ .
"
positive,"thầy nên đổi mới cách dạy để bài học trở nên sinh động hơn .
"
neutral,"i love thầy !
"
negative,"cô wzjwz303 là một người cô dạy có tâm nhất mà em gặp từ lúc sinh ra tới giờ .
"
negative,"cô rất quan tâm đến tình hình học tập của lớp .
"
neutral,"học bù cũng không hỏi ý kiến sinh viên có trùng với môn khác không , học bù lại còn điểm danh .
"
neutral,"có những hoạt động giúp giờ học sinh động .
"
negative,"nhiều lúc báo cáo tiến độ đồ án , khi không hài lòng , giảng viên đã nói thẳng với sinh viên là rớt môn dù cho còn 1 tháng nữa mới đến ngày báo cáo cuối kỳ .
"
positive,"cô rất tận tình giúp đỡ chúng em trong học tập .
"
negative,"thầy giảng quá nhanh .
"
negative,"rất hài lòng !
"
neutral,"đề thực hành hay và khó .
"
positive,"giáo viên giảng dạy nhiệt tình , tận tâm , dạy hay , dễ hiểu .
"
negative,"giảng dạy nhiệt tình tâm huyết .
"
neutral,"lịch thực hành ban ra quá trễ !
"
neutral,"không .
"
positive,"chưa nhận thấy có điểm nào chưa tốt , sinh viên học môn này từ cô wzjwz85 rất vui và tiếp thu bài rất tốt .
"
negative,"bài tập thì không còn như thời cấp 3 chỉ có vài dạng cơ bản , số lượng cũng như độ khó ngày càng tăng , thời gian của sinh viên cũng chẳng phải dư dả , sinh viên cũng cần phải đầu tư cho các môn học khác , nên cách đưa ra những công thức trọng tâm , những bài tập cần và đủ của thầy khiến em một nữ sinh viên cảm thấy hứng thú hơn khi học vật lý , một học dường như chỉ dành cho các bạn nam .
"
positive,"cô rất nhiệt tình chu đáo .
"
neutral,"nhiệt tình , biết cách truyền đạt .
"
neutral,"giảng viên gần gũi , giúp đỡ sinh viên rất nhiều trong học tập trên lớp .
"
